"SG_UF";"CD_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"POPULACAO_ESTIMADA"
"AC";12;"00013";"Acrelândia";"15490"
"AC";12;"00054";"Assis Brasil";"7534"
"AC";12;"00104";"Brasiléia";"26702"
"AC";12;"00138";"Bujari";"10420"
"AC";12;"00179";"Capixaba";"12008"
"AC";12;"00203";"Cruzeiro do Sul";"89072"
"AC";12;"00252";"Epitaciolândia";"18696"
"AC";12;"00302";"Feijó";"34884"
"AC";12;"00328";"Jordão";"8473"
"AC";12;"00336";"Mâncio Lima";"19311"
"AC";12;"00344";"Manoel Urbano";"9581"
"AC";12;"00351";"Marechal Thaumaturgo";"19299"
"AC";12;"00385";"Plácido de Castro";"19955"
"AC";12;"00393";"Porto Walter";"12241"
"AC";12;"00401";"Rio Branco";"413418"
"AC";12;"00427";"Rodrigues Alves";"19351"
"AC";12;"00435";"Santa Rosa do Purus";"6717"
"AC";12;"00450";"Senador Guiomard";"23236"
"AC";12;"00500";"Sena Madureira";"46511"
"AC";12;"00609";"Tarauacá";"43151"
"AC";12;"00708";"Xapuri";"19596"
"AC";12;"00807";"Porto Acre";"18824"
"AL";27;"00102";"Água Branca";"20230"
"AL";27;"00201";"Anadia";"17526"
"AL";27;"00300";"Arapiraca";"233047"
"AL";27;"00409";"Atalaia";"47365"
"AL";27;"00508";"Barra de Santo Antônio";"16068"
"AL";27;"00607";"Barra de São Miguel";"8378"
"AL";27;"00706";"Batalha";"18338"
"AL";27;"00805";"Belém";"4284"
"AL";27;"00904";"Belo Monte";"6710"
"AL";27;"01001";"Boca da Mata";"27356"
"AL";27;"01100";"Branquinha";"10460"
"AL";27;"01209";"Cacimbinhas";"10889"
"AL";27;"01308";"Cajueiro";"21331"
"AL";27;"01357";"Campestre";"6954"
"AL";27;"01407";"Campo Alegre";"57537"
"AL";27;"01506";"Campo Grande";"9567"
"AL";27;"01605";"Canapi";"17719"
"AL";27;"01704";"Capela";"16979"
"AL";27;"01803";"Carneiros";"9159"
"AL";27;"01902";"Chã Preta";"7311"
"AL";27;"02009";"Coité do Nóia";"10643"
"AL";27;"02108";"Colônia Leopoldina";"21818"
"AL";27;"02207";"Coqueiro Seco";"5864"
"AL";27;"02306";"Coruripe";"57294"
"AL";27;"02355";"Craíbas";"24309"
"AL";27;"02405";"Delmiro Gouveia";"52262"
"AL";27;"02504";"Dois Riachos";"11067"
"AL";27;"02553";"Estrela de Alagoas";"18255"
"AL";27;"02603";"Feira Grande";"22178"
"AL";27;"02702";"Feliz Deserto";"4779"
"AL";27;"02801";"Flexeiras";"12807"
"AL";27;"02900";"Girau do Ponciano";"41237"
"AL";27;"03007";"Ibateguara";"15627"
"AL";27;"03106";"Igaci";"25613"
"AL";27;"03205";"Igreja Nova";"24586"
"AL";27;"03304";"Inhapi";"18392"
"AL";27;"03403";"Jacaré dos Homens";"5219"
"AL";27;"03502";"Jacuípe";"7006"
"AL";27;"03601";"Japaratinga";"8403"
"AL";27;"03700";"Jaramataia";"5761"
"AL";27;"03759";"Jequiá da Praia";"11536"
"AL";27;"03809";"Joaquim Gomes";"24081"
"AL";27;"03908";"Jundiá";"4137"
"AL";27;"04005";"Junqueiro";"24722"
"AL";27;"04104";"Lagoa da Canoa";"17771"
"AL";27;"04203";"Limoeiro de Anadia";"28771"
"AL";27;"04302";"Maceió";"1025360"
"AL";27;"04401";"Major Isidoro";"19864"
"AL";27;"04500";"Maragogi";"33032"
"AL";27;"04609";"Maravilha";"9004"
"AL";27;"04708";"Marechal Deodoro";"52380"
"AL";27;"04807";"Maribondo";"13193"
"AL";27;"04906";"Mar Vermelho";"3494"
"AL";27;"05002";"Mata Grande";"25207"
"AL";27;"05101";"Matriz de Camaragibe";"24634"
"AL";27;"05200";"Messias";"18031"
"AL";27;"05309";"Minador do Negrão";"5322"
"AL";27;"05408";"Monteirópolis";"7165"
"AL";27;"05507";"Murici";"28333"
"AL";27;"05606";"Novo Lino";"12764"
"AL";27;"05705";"Olho d'Água das Flores";"21738"
"AL";27;"05804";"Olho d'Água do Casado";"9441"
"AL";27;"05903";"Olho d'Água Grande";"5128"
"AL";27;"06000";"Olivença";"11657"
"AL";27;"06109";"Ouro Branco";"11535"
"AL";27;"06208";"Palestina";"5037"
"AL";27;"06307";"Palmeira dos Índios";"73337"
"AL";27;"06406";"Pão de Açúcar";"24351"
"AL";27;"06422";"Pariconha";"10539"
"AL";27;"06448";"Paripueira";"13332"
"AL";27;"06505";"Passo de Camaragibe";"15258"
"AL";27;"06604";"Paulo Jacinto";"7560"
"AL";27;"06703";"Penedo";"63846"
"AL";27;"06802";"Piaçabuçu";"17848"
"AL";27;"06901";"Pilar";"35212"
"AL";27;"07008";"Pindoba";"2905"
"AL";27;"07107";"Piranhas";"25183"
"AL";27;"07206";"Poço das Trincheiras";"14418"
"AL";27;"07305";"Porto Calvo";"27249"
"AL";27;"07404";"Porto de Pedras";"7701"
"AL";27;"07503";"Porto Real do Colégio";"20112"
"AL";27;"07602";"Quebrangulo";"11248"
"AL";27;"07701";"Rio Largo";"75394"
"AL";27;"07800";"Roteiro";"6649"
"AL";27;"07909";"Santa Luzia do Norte";"7320"
"AL";27;"08006";"Santana do Ipanema";"47819"
"AL";27;"08105";"Santana do Mundaú";"10687"
"AL";27;"08204";"São Brás";"6969"
"AL";27;"08303";"São José da Laje";"23996"
"AL";27;"08402";"São José da Tapera";"32405"
"AL";27;"08501";"São Luís do Quitunde";"34692"
"AL";27;"08600";"São Miguel dos Campos";"61797"
"AL";27;"08709";"São Miguel dos Milagres";"8013"
"AL";27;"08808";"São Sebastião";"34290"
"AL";27;"08907";"Satuba";"13936"
"AL";27;"08956";"Senador Rui Palmeira";"13921"
"AL";27;"09004";"Tanque d'Arca";"6138"
"AL";27;"09103";"Taquarana";"20072"
"AL";27;"09152";"Teotônio Vilela";"44372"
"AL";27;"09202";"Traipu";"27826"
"AL";27;"09301";"União dos Palmares";"65790"
"AL";27;"09400";"Viçosa";"25693"
"AM";13;"00029";"Alvarães";"16220"
"AM";13;"00060";"Amaturá";"11736"
"AM";13;"00086";"Anamã";"13956"
"AM";13;"00102";"Anori";"21477"
"AM";13;"00144";"Apuí";"22359"
"AM";13;"00201";"Atalaia do Norte";"20398"
"AM";13;"00300";"Autazes";"40290"
"AM";13;"00409";"Barcelos";"27638"
"AM";13;"00508";"Barreirinha";"32483"
"AM";13;"00607";"Benjamin Constant";"43935"
"AM";13;"00631";"Beruri";"20093"
"AM";13;"00680";"Boa Vista do Ramos";"19626"
"AM";13;"00706";"Boca do Acre";"34635"
"AM";13;"00805";"Borba";"41748"
"AM";13;"00839";"Caapiranga";"13283"
"AM";13;"00904";"Canutama";"15807"
"AM";13;"01001";"Carauari";"28508"
"AM";13;"01100";"Careiro";"38348"
"AM";13;"01159";"Careiro da Várzea";"30846"
"AM";13;"01209";"Coari";"85910"
"AM";13;"01308";"Codajás";"29168"
"AM";13;"01407";"Eirunepé";"35700"
"AM";13;"01506";"Envira";"20393"
"AM";13;"01605";"Fonte Boa";"17005"
"AM";13;"01654";"Guajará";"16937"
"AM";13;"01704";"Humaitá";"56144"
"AM";13;"01803";"Ipixuna";"30436"
"AM";13;"01852";"Iranduba";"49011"
"AM";13;"01902";"Itacoatiara";"102701"
"AM";13;"01951";"Itamarati";"7814"
"AM";13;"02009";"Itapiranga";"9230"
"AM";13;"02108";"Japurá";"2251"
"AM";13;"02207";"Juruá";"15106"
"AM";13;"02306";"Jutaí";"13886"
"AM";13;"02405";"Lábrea";"46882"
"AM";13;"02504";"Manacapuru";"98502"
"AM";13;"02553";"Manaquiri";"33049"
"AM";13;"02603";"Manaus";"2219580"
"AM";13;"02702";"Manicoré";"56583"
"AM";13;"02801";"Maraã";"18261"
"AM";13;"02900";"Maués";"65040"
"AM";13;"03007";"Nhamundá";"21443"
"AM";13;"03106";"Nova Olinda do Norte";"38026"
"AM";13;"03205";"Novo Airão";"19928"
"AM";13;"03304";"Novo Aripuanã";"26046"
"AM";13;"03403";"Parintins";"115363"
"AM";13;"03502";"Pauini";"19522"
"AM";13;"03536";"Presidente Figueiredo";"37193"
"AM";13;"03569";"Rio Preto da Eva";"34106"
"AM";13;"03601";"Santa Isabel do Rio Negro";"25865"
"AM";13;"03700";"Santo Antônio do Içá";"21243"
"AM";13;"03809";"São Gabriel da Cachoeira";"46303"
"AM";13;"03908";"São Paulo de Olivença";"40073"
"AM";13;"03957";"São Sebastião do Uatumã";"14352"
"AM";13;"04005";"Silves";"9230"
"AM";13;"04062";"Tabatinga";"67182"
"AM";13;"04104";"Tapauá";"17015"
"AM";13;"04203";"Tefé";"59547"
"AM";13;"04237";"Tonantins";"18897"
"AM";13;"04260";"Uarini";"13690"
"AM";13;"04302";"Urucará";"16130"
"AM";13;"04401";"Urucurituba";"23585"
"AP";16;"00055";"Serra do Navio";"5488"
"AP";16;"00105";"Amapá";"9187"
"AP";16;"00154";"Pedra Branca do Amapari";"17067"
"AP";16;"00204";"Calçoene";"11306"
"AP";16;"00212";"Cutias";"6101"
"AP";16;"00238";"Ferreira Gomes";"7967"
"AP";16;"00253";"Itaubal";"5617"
"AP";16;"00279";"Laranjal do Jari";"51362"
"AP";16;"00303";"Macapá";"512902"
"AP";16;"00402";"Mazagão";"22053"
"AP";16;"00501";"Oiapoque";"27906"
"AP";16;"00535";"Porto Grande";"22452"
"AP";16;"00550";"Pracuúba";"5246"
"AP";16;"00600";"Santana";"123096"
"AP";16;"00709";"Tartarugalzinho";"17769"
"AP";16;"00808";"Vitória do Jari";"16254"
"BA";29;"00108";"Abaíra";"8710"
"BA";29;"00207";"Abaré";"20347"
"BA";29;"00306";"Acajutiba";"15187"
"BA";29;"00355";"Adustina";"17126"
"BA";29;"00405";"Água Fria";"17033"
"BA";29;"00504";"Érico Cardoso";"10560"
"BA";29;"00603";"Aiquara";"4416"
"BA";29;"00702";"Alagoinhas";"152327"
"BA";29;"00801";"Alcobaça";"22490"
"BA";29;"00900";"Almadina";"5366"
"BA";29;"01007";"Amargosa";"37441"
"BA";29;"01106";"Amélia Rodrigues";"25048"
"BA";29;"01155";"América Dourada";"16090"
"BA";29;"01205";"Anagé";"21607"
"BA";29;"01304";"Andaraí";"13132"
"BA";29;"01353";"Andorinha";"14503"
"BA";29;"01403";"Angical";"13938"
"BA";29;"01502";"Anguera";"11297"
"BA";29;"01601";"Antas";"19479"
"BA";29;"01700";"Antônio Cardoso";"11677"
"BA";29;"01809";"Antônio Gonçalves";"11878"
"BA";29;"01908";"Aporá";"17788"
"BA";29;"01957";"Apuarema";"7302"
"BA";29;"02005";"Aracatu";"13045"
"BA";29;"02054";"Araçás";"12208"
"BA";29;"02104";"Araci";"54648"
"BA";29;"02203";"Aramari";"11461"
"BA";29;"02252";"Arataca";"10961"
"BA";29;"02302";"Aratuípe";"8837"
"BA";29;"02401";"Aurelino Leal";"11299"
"BA";29;"02500";"Baianópolis";"13929"
"BA";29;"02609";"Baixa Grande";"20449"
"BA";29;"02658";"Banzaê";"13240"
"BA";29;"02708";"Barra";"53910"
"BA";29;"02807";"Barra da Estiva";"20392"
"BA";29;"02906";"Barra do Choça";"31209"
"BA";29;"03003";"Barra do Mendes";"13833"
"BA";29;"03102";"Barra do Rocha";"5612"
"BA";29;"03201";"Barreiras";"156975"
"BA";29;"03235";"Barro Alto";"15054"
"BA";29;"03276";"Barrocas";"16105"
"BA";29;"03300";"Barro Preto";"5448"
"BA";29;"03409";"Belmonte";"23437"
"BA";29;"03508";"Belo Campo";"17109"
"BA";29;"03607";"Biritinga";"15984"
"BA";29;"03706";"Boa Nova";"12329"
"BA";29;"03805";"Boa Vista do Tupim";"18531"
"BA";29;"03904";"Bom Jesus da Lapa";"69662"
"BA";29;"03953";"Bom Jesus da Serra";"9823"
"BA";29;"04001";"Boninal";"14446"
"BA";29;"04050";"Bonito";"16884"
"BA";29;"04100";"Boquira";"21497"
"BA";29;"04209";"Botuporã";"10129"
"BA";29;"04308";"Brejões";"14222"
"BA";29;"04407";"Brejolândia";"10618"
"BA";29;"04506";"Brotas de Macaúbas";"10130"
"BA";29;"04605";"Brumado";"67335"
"BA";29;"04704";"Buerarema";"18306"
"BA";29;"04753";"Buritirama";"21276"
"BA";29;"04803";"Caatiba";"6488"
"BA";29;"04852";"Cabaceiras do Paraguaçu";"18911"
"BA";29;"04902";"Cachoeira";"33567"
"BA";29;"05008";"Caculé";"23291"
"BA";29;"05107";"Caém";"9058"
"BA";29;"05156";"Caetanos";"14608"
"BA";29;"05206";"Caetité";"51081"
"BA";29;"05305";"Cafarnaum";"18513"
"BA";29;"05404";"Cairu";"18427"
"BA";29;"05503";"Caldeirão Grande";"13391"
"BA";29;"05602";"Camacan";"32006"
"BA";29;"05701";"Camaçari";"304302"
"BA";29;"05800";"Camamu";"35382"
"BA";29;"05909";"Campo Alegre de Lourdes";"28820"
"BA";29;"06006";"Campo Formoso";"71487"
"BA";29;"06105";"Canápolis";"9703"
"BA";29;"06204";"Canarana";"26325"
"BA";29;"06303";"Canavieiras";"30906"
"BA";29;"06402";"Candeal";"8181"
"BA";29;"06501";"Candeias";"87458"
"BA";29;"06600";"Candiba";"14368"
"BA";29;"06709";"Cândido Sales";"25053"
"BA";29;"06808";"Cansanção";"34882"
"BA";29;"06824";"Canudos";"16753"
"BA";29;"06857";"Capela do Alto Alegre";"11616"
"BA";29;"06873";"Capim Grosso";"30862"
"BA";29;"06899";"Caraíbas";"8801"
"BA";29;"06907";"Caravelas";"22093"
"BA";29;"07004";"Cardeal da Silva";"9346"
"BA";29;"07103";"Carinhanha";"29070"
"BA";29;"07202";"Casa Nova";"72545"
"BA";29;"07301";"Castro Alves";"26318"
"BA";29;"07400";"Catolândia";"3599"
"BA";29;"07509";"Catu";"54970"
"BA";29;"07558";"Caturama";"9316"
"BA";29;"07608";"Central";"17280"
"BA";29;"07707";"Chorrochó";"11200"
"BA";29;"07806";"Cícero Dantas";"32576"
"BA";29;"07905";"Cipó";"17352"
"BA";29;"08002";"Coaraci";"16549"
"BA";29;"08101";"Cocos";"18807"
"BA";29;"08200";"Conceição da Feira";"22762"
"BA";29;"08309";"Conceição do Almeida";"17165"
"BA";29;"08408";"Conceição do Coité";"67013"
"BA";29;"08507";"Conceição do Jacuípe";"33398"
"BA";29;"08606";"Conde";"26035"
"BA";29;"08705";"Condeúba";"17178"
"BA";29;"08804";"Contendas do Sincorá";"4045"
"BA";29;"08903";"Coração de Maria";"22495"
"BA";29;"09000";"Cordeiros";"8642"
"BA";29;"09109";"Coribe";"14149"
"BA";29;"09208";"Coronel João Sá";"15717"
"BA";29;"09307";"Correntina";"32191"
"BA";29;"09406";"Cotegipe";"13769"
"BA";29;"09505";"Cravolândia";"5351"
"BA";29;"09604";"Crisópolis";"21163"
"BA";29;"09703";"Cristópolis";"13947"
"BA";29;"09802";"Cruz das Almas";"63591"
"BA";29;"09901";"Curaçá";"34886"
"BA";29;"10008";"Dário Meira";"10525"
"BA";29;"10057";"Dias d'Ávila";"82432"
"BA";29;"10107";"Dom Basílio";"12240"
"BA";29;"10206";"Dom Macedo Costa";"4065"
"BA";29;"10305";"Elísio Medrado";"8126"
"BA";29;"10404";"Encruzilhada";"16446"
"BA";29;"10503";"Entre Rios";"41901"
"BA";29;"10602";"Esplanada";"37578"
"BA";29;"10701";"Euclides da Cunha";"60858"
"BA";29;"10727";"Eunápolis";"114396"
"BA";29;"10750";"Fátima";"17845"
"BA";29;"10776";"Feira da Mata";"5661"
"BA";29;"10800";"Feira de Santana";"619609"
"BA";29;"10859";"Filadélfia";"16345"
"BA";29;"10909";"Firmino Alves";"5629"
"BA";29;"11006";"Floresta Azul";"10575"
"BA";29;"11105";"Formosa do Rio Preto";"25857"
"BA";29;"11204";"Gandu";"32596"
"BA";29;"11253";"Gavião";"4440"
"BA";29;"11303";"Gentio do Ouro";"11259"
"BA";29;"11402";"Glória";"15234"
"BA";29;"11501";"Gongogi";"6985"
"BA";29;"11600";"Governador Mangabeira";"20762"
"BA";29;"11659";"Guajeru";"6646"
"BA";29;"11709";"Guanambi";"84928"
"BA";29;"11808";"Guaratinga";"20700"
"BA";29;"11857";"Heliópolis";"12987"
"BA";29;"11907";"Iaçu";"24121"
"BA";29;"12004";"Ibiassucê";"9031"
"BA";29;"12103";"Ibicaraí";"21378"
"BA";29;"12202";"Ibicoara";"19786"
"BA";29;"12301";"Ibicuí";"16230"
"BA";29;"12400";"Ibipeba";"18319"
"BA";29;"12509";"Ibipitanga";"14947"
"BA";29;"12608";"Ibiquera";"4046"
"BA";29;"12707";"Ibirapitanga";"23404"
"BA";29;"12806";"Ibirapuã";"8690"
"BA";29;"12905";"Ibirataia";"14882"
"BA";29;"13002";"Ibitiara";"16403"
"BA";29;"13101";"Ibititá";"17080"
"BA";29;"13200";"Ibotirama";"27003"
"BA";29;"13309";"Ichu";"6220"
"BA";29;"13408";"Igaporã";"15650"
"BA";29;"13457";"Igrapiúna";"13091"
"BA";29;"13507";"Iguaí";"26963"
"BA";29;"13606";"Ilhéus";"159923"
"BA";29;"13705";"Inhambupe";"40333"
"BA";29;"13804";"Ipecaetá";"14354"
"BA";29;"13903";"Ipiaú";"45922"
"BA";29;"14000";"Ipirá";"59435"
"BA";29;"14109";"Ipupiara";"9911"
"BA";29;"14208";"Irajuba";"7279"
"BA";29;"14307";"Iramaia";"8197"
"BA";29;"14406";"Iraquara";"25478"
"BA";29;"14505";"Irará";"29173"
"BA";29;"14604";"Irecê";"73524"
"BA";29;"14653";"Itabela";"30747"
"BA";29;"14703";"Itaberaba";"64646"
"BA";29;"14802";"Itabuna";"213685"
"BA";29;"14901";"Itacaré";"28684"
"BA";29;"15007";"Itaeté";"16110"
"BA";29;"15106";"Itagi";"12242"
"BA";29;"15205";"Itagibá";"14452"
"BA";29;"15304";"Itagimirim";"6825"
"BA";29;"15353";"Itaguaçu da Bahia";"14542"
"BA";29;"15403";"Itaju do Colônia";"6596"
"BA";29;"15502";"Itajuípe";"20398"
"BA";29;"15601";"Itamaraju";"64455"
"BA";29;"15700";"Itamari";"8003"
"BA";29;"15809";"Itambé";"22754"
"BA";29;"15908";"Itanagra";"6436"
"BA";29;"16005";"Itanhém";"19316"
"BA";29;"16104";"Itaparica";"22337"
"BA";29;"16203";"Itapé";"8526"
"BA";29;"16302";"Itapebi";"10215"
"BA";29;"16401";"Itapetinga";"76795"
"BA";29;"16500";"Itapicuru";"35883"
"BA";29;"16609";"Itapitanga";"10298"
"BA";29;"16708";"Itaquara";"8347"
"BA";29;"16807";"Itarantim";"19843"
"BA";29;"16856";"Itatim";"14539"
"BA";29;"16906";"Itiruçu";"12528"
"BA";29;"17003";"Itiúba";"36116"
"BA";29;"17102";"Itororó";"20388"
"BA";29;"17201";"Ituaçu";"19030"
"BA";29;"17300";"Ituberá";"28740"
"BA";29;"17334";"Iuiu";"11016"
"BA";29;"17359";"Jaborandi";"8277"
"BA";29;"17409";"Jacaraci";"14850"
"BA";29;"17508";"Jacobina";"80635"
"BA";29;"17607";"Jaguaquara";"54673"
"BA";29;"17706";"Jaguarari";"33746"
"BA";29;"17805";"Jaguaripe";"18981"
"BA";29;"17904";"Jandaíra";"10726"
"BA";29;"18001";"Jequié";"156126"
"BA";29;"18100";"Jeremoabo";"40651"
"BA";29;"18209";"Jiquiriçá";"14557"
"BA";29;"18308";"Jitaúna";"10808"
"BA";29;"18357";"João Dourado";"25402"
"BA";29;"18407";"Juazeiro";"218162"
"BA";29;"18456";"Jucuruçu";"8988"
"BA";29;"18506";"Jussara";"15262"
"BA";29;"18555";"Jussari";"5768"
"BA";29;"18605";"Jussiape";"5976"
"BA";29;"18704";"Lafaiete Coutinho";"3693"
"BA";29;"18753";"Lagoa Real";"15770"
"BA";29;"18803";"Laje";"24032"
"BA";29;"18902";"Lajedão";"3975"
"BA";29;"19009";"Lajedinho";"3758"
"BA";29;"19058";"Lajedo do Tabocal";"8577"
"BA";29;"19108";"Lamarão";"8191"
"BA";29;"19157";"Lapão";"27274"
"BA";29;"19207";"Lauro de Freitas";"201635"
"BA";29;"19306";"Lençóis";"11499"
"BA";29;"19405";"Licínio de Almeida";"12373"
"BA";29;"19504";"Livramento de Nossa Senhora";"46062"
"BA";29;"19553";"Luís Eduardo Magalhães";"90162"
"BA";29;"19603";"Macajuba";"11332"
"BA";29;"19702";"Macarani";"18909"
"BA";29;"19801";"Macaúbas";"50161"
"BA";29;"19900";"Macururé";"7787"
"BA";29;"19926";"Madre de Deus";"21432"
"BA";29;"19959";"Maetinga";"2764"
"BA";29;"20007";"Maiquinique";"10206"
"BA";29;"20106";"Mairi";"18602"
"BA";29;"20205";"Malhada";"16861"
"BA";29;"20304";"Malhada de Pedras";"8359"
"BA";29;"20403";"Manoel Vitorino";"13087"
"BA";29;"20452";"Mansidão";"13734"
"BA";29;"20502";"Maracás";"20393"
"BA";29;"20601";"Maragogipe";"44793"
"BA";29;"20700";"Maraú";"20617"
"BA";29;"20809";"Marcionílio Souza";"10380"
"BA";29;"20908";"Mascote";"13717"
"BA";29;"21005";"Mata de São João";"47126"
"BA";29;"21054";"Matina";"12283"
"BA";29;"21104";"Medeiros Neto";"22716"
"BA";29;"21203";"Miguel Calmon";"25894"
"BA";29;"21302";"Milagres";"10893"
"BA";29;"21401";"Mirangaba";"18474"
"BA";29;"21450";"Mirante";"8447"
"BA";29;"21500";"Monte Santo";"49278"
"BA";29;"21609";"Morpará";"8497"
"BA";29;"21708";"Morro do Chapéu";"35440"
"BA";29;"21807";"Mortugaba";"12052"
"BA";29;"21906";"Mucugê";"8889"
"BA";29;"22003";"Mucuri";"42251"
"BA";29;"22052";"Mulungu do Morro";"10673"
"BA";29;"22102";"Mundo Novo";"26970"
"BA";29;"22201";"Muniz Ferreira";"7443"
"BA";29;"22250";"Muquém do São Francisco";"11417"
"BA";29;"22300";"Muritiba";"29410"
"BA";29;"22409";"Mutuípe";"22282"
"BA";29;"22508";"Nazaré";"28594"
"BA";29;"22607";"Nilo Peçanha";"14079"
"BA";29;"22656";"Nordestina";"13164"
"BA";29;"22706";"Nova Canaã";"16472"
"BA";29;"22730";"Nova Fátima";"7821"
"BA";29;"22755";"Nova Ibiá";"6554"
"BA";29;"22805";"Nova Itarana";"8279"
"BA";29;"22854";"Nova Redenção";"9123"
"BA";29;"22904";"Nova Soure";"26998"
"BA";29;"23001";"Nova Viçosa";"43783"
"BA";29;"23035";"Novo Horizonte";"12522"
"BA";29;"23050";"Novo Triunfo";"15443"
"BA";29;"23100";"Olindina";"28304"
"BA";29;"23209";"Oliveira dos Brejinhos";"21810"
"BA";29;"23308";"Ouriçangas";"8570"
"BA";29;"23357";"Ourolândia";"17511"
"BA";29;"23407";"Palmas de Monte Alto";"21796"
"BA";29;"23506";"Palmeiras";"9071"
"BA";29;"23605";"Paramirim";"21695"
"BA";29;"23704";"Paratinga";"32141"
"BA";29;"23803";"Paripiranga";"29058"
"BA";29;"23902";"Pau Brasil";"9686"
"BA";29;"24009";"Paulo Afonso";"118516"
"BA";29;"24058";"Pé de Serra";"13556"
"BA";29;"24108";"Pedrão";"7394"
"BA";29;"24207";"Pedro Alexandre";"16682"
"BA";29;"24306";"Piatã";"16984"
"BA";29;"24405";"Pilão Arcado";"35175"
"BA";29;"24504";"Pindaí";"16285"
"BA";29;"24603";"Pindobaçu";"20098"
"BA";29;"24652";"Pintadas";"10394"
"BA";29;"24678";"Piraí do Norte";"10036"
"BA";29;"24702";"Piripá";"10475"
"BA";29;"24801";"Piritiba";"24964"
"BA";29;"24900";"Planaltino";"9370"
"BA";29;"25006";"Planalto";"26426"
"BA";29;"25105";"Poções";"46879"
"BA";29;"25204";"Pojuca";"39972"
"BA";29;"25253";"Ponto Novo";"14819"
"BA";29;"25303";"Porto Seguro";"150658"
"BA";29;"25402";"Potiraguá";"6916"
"BA";29;"25501";"Prado";"28194"
"BA";29;"25600";"Presidente Dutra";"15160"
"BA";29;"25709";"Presidente Jânio Quadros";"12179"
"BA";29;"25758";"Presidente Tancredo Neves";"28004"
"BA";29;"25808";"Queimadas";"25433"
"BA";29;"25907";"Quijingue";"27626"
"BA";29;"25931";"Quixabeira";"8956"
"BA";29;"25956";"Rafael Jambeiro";"22633"
"BA";29;"26004";"Remanso";"41170"
"BA";29;"26103";"Retirolândia";"14495"
"BA";29;"26202";"Riachão das Neves";"22334"
"BA";29;"26301";"Riachão do Jacuípe";"33468"
"BA";29;"26400";"Riacho de Santana";"35593"
"BA";29;"26509";"Ribeira do Amparo";"14612"
"BA";29;"26608";"Ribeira do Pombal";"53956"
"BA";29;"26657";"Ribeirão do Largo";"5343"
"BA";29;"26707";"Rio de Contas";"12932"
"BA";29;"26806";"Rio do Antônio";"15448"
"BA";29;"26905";"Rio do Pires";"11663"
"BA";29;"27002";"Rio Real";"40976"
"BA";29;"27101";"Rodelas";"9442"
"BA";29;"27200";"Ruy Barbosa";"30857"
"BA";29;"27309";"Salinas da Margarida";"15862"
"BA";29;"27408";"Salvador";"2886698"
"BA";29;"27507";"Santa Bárbara";"20883"
"BA";29;"27606";"Santa Brígida";"14063"
"BA";29;"27705";"Santa Cruz Cabrália";"27922"
"BA";29;"27804";"Santa Cruz da Vitória";"6278"
"BA";29;"27903";"Santa Inês";"10606"
"BA";29;"28000";"Santaluz";"37531"
"BA";29;"28059";"Santa Luzia";"12449"
"BA";29;"28109";"Santa Maria da Vitória";"39775"
"BA";29;"28208";"Santana";"26705"
"BA";29;"28307";"Santanópolis";"8966"
"BA";29;"28406";"Santa Rita de Cássia";"28481"
"BA";29;"28505";"Santa Teresinha";"10464"
"BA";29;"28604";"Santo Amaro";"60131"
"BA";29;"28703";"Santo Antônio de Jesus";"102380"
"BA";29;"28802";"Santo Estêvão";"53269"
"BA";29;"28901";"São Desidério";"34266"
"BA";29;"28950";"São Domingos";"9072"
"BA";29;"29008";"São Félix";"14762"
"BA";29;"29057";"São Félix do Coribe";"15468"
"BA";29;"29107";"São Felipe";"21080"
"BA";29;"29206";"São Francisco do Conde";"40245"
"BA";29;"29255";"São Gabriel";"18789"
"BA";29;"29305";"São Gonçalo dos Campos";"37942"
"BA";29;"29354";"São José da Vitória";"5608"
"BA";29;"29370";"São José do Jacuípe";"10505"
"BA";29;"29404";"São Miguel das Matas";"11704"
"BA";29;"29503";"São Sebastião do Passé";"44430"
"BA";29;"29602";"Sapeaçu";"17409"
"BA";29;"29701";"Sátiro Dias";"17302"
"BA";29;"29750";"Saubara";"12105"
"BA";29;"29800";"Saúde";"12943"
"BA";29;"29909";"Seabra";"44234"
"BA";29;"30006";"Sebastião Laranjeiras";"11512"
"BA";29;"30105";"Senhor do Bonfim";"79424"
"BA";29;"30154";"Serra do Ramalho";"31416"
"BA";29;"30204";"Sento Sé";"40989"
"BA";29;"30303";"Serra Dourada";"17321"
"BA";29;"30402";"Serra Preta";"14699"
"BA";29;"30501";"Serrinha";"81286"
"BA";29;"30600";"Serrolândia";"13446"
"BA";29;"30709";"Simões Filho";"135783"
"BA";29;"30758";"Sítio do Mato";"13059"
"BA";29;"30766";"Sítio do Quinto";"9701"
"BA";29;"30774";"Sobradinho";"23233"
"BA";29;"30808";"Souto Soares";"17050"
"BA";29;"30907";"Tabocas do Brejo Velho";"12516"
"BA";29;"31004";"Tanhaçu";"20393"
"BA";29;"31053";"Tanque Novo";"17443"
"BA";29;"31103";"Tanquinho";"7928"
"BA";29;"31202";"Taperoá";"21253"
"BA";29;"31301";"Tapiramutá";"16974"
"BA";29;"31350";"Teixeira de Freitas";"162438"
"BA";29;"31400";"Teodoro Sampaio";"7359"
"BA";29;"31509";"Teofilândia";"22555"
"BA";29;"31608";"Teolândia";"15022"
"BA";29;"31707";"Terra Nova";"13025"
